PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,DEGPOP,DEGAGG,DEGSBJ,UFIRST,UUPPER,ULOWER,UOTHER,UORDINARY,UDISTINCTION,UMERIT,UPASS,UNA
10000571,10000571,BS-EV,1,10,14,,10,65,25,0,0,0,0,0,0
10000571,10000571,BS-EV-SW,1,50,13,031,5,55,25,15,0,0,0,0,0
10000571,10000571,BS-FS,1,15,14,,15,40,40,10,0,0,0,0,0
10000571,10000571,BS-FS-SW,1,20,13,007,20,30,40,10,0,0,0,0,0
10000571,10000571,BS-GDS,1,15,24,,15,55,25,10,0,0,0,0,0
10000571,10000571,BS-GE,1,30,14,,0,55,30,15,0,0,0,0,0
10000571,10000571,BS-GEPH,1,50,13,031,5,55,25,15,0,0,0,0,0
10000571,10000571,BS-HN,1,20,24,,30,15,35,15,0,0,0,0,0
10000571,10000571,BS-HN-SW,1,20,13,007,20,30,40,10,0,0,0,0,0
10000571,10000571,BS-PS,1,60,14,,5,58,31,6,0,0,0,0,0
10000571,10000571,BS-SC,1,20,14,,0,60,30,10,0,0,0,0,0
10000571,10000571,F-29,1,45,12,29,15,70,15,0,0,0,0,0,0
10000571,10000571,F-34,1,65,12,34,4,80,14,1,0,0,0,0,0
10000571,10000571,F-35,1,30,12,35,5,70,20,5,0,0,0,0,0
10000571,10000571,F-36,1,150,12,36,16,46,32,6,0,0,0,0,0
10000571,10000571,MOD-CWAEN,1,15,14,,5,75,20,0,0,0,0,0,0
10000571,10000571,MOD-CWAPU,1,10,14,,50,25,25,0,0,0,0,0,0
10000712,10000712,BA_AAM,1,295,13,067,21,33,33,13,0,0,0,0,0
10000712,10000712,BA_BEN,1,95,14,,15,34,40,11,0,0,0,0,0
